Airtable UUID,Total_Covered_Lives,Weight_Rank_1_to_5
CHIR_IDrecsVOQur4ZI5L2A9-268492-CACigna Value 3-T,887262,5
CHIR_IDrecIfPO3U7ZvTTZCs-268494-CACigna Value 4-T,887262,5
CHIR_IDrecsPx1FO1IQwUgn1-268495-CACigna Specialty,887262,5
CHIR_IDrecLamNQ2VlIRIz2r-268483-CACigna Standard ,887262,5
CHIR_IDrecynhegPVjTmxsw5-268482-CACigna Standard ,887262,5
CHIR_IDrec4Qr94xDlYrbRga-268504-CACigna Legacy (S,887262,5
CHIR_IDrecF2s1rGKZjNLRgl-268505-CACigna Legacy (S,887262,5
CHIR_IDrecBE4b7RoZccHPkC-268510-CACigna Specialty,887262,5
CHIR_IDrecRiX2gUWorPfloW-268509-CACigna Specialty,887262,5
CHIR_IDrecdXPtGEJHO8qAel-268507-CACigna Legacy (S,887262,5
CHIR_IDrecIVRi7gup9Oe04p-268506-CACigna Legacy (S,887262,5
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,887262,5
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,887262,5
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,887262,5
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,887262,5
CHIR_IDrec2htHm6fFJXcnVe-268485-CACigna Specialty,887262,5
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,887262,5
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,887262,5
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,887262,5
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,887262,5
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,887262,5
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,887262,5
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,887262,5
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,887262,5
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,887262,5
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,887262,5
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,887262,5
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,887262,5
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,887262,5
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,887262,5
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,887262,5
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,887262,5
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,887262,5
CHIR_IDrec71qAIVXcOAfMpZ-268517-CACigna Total Sav,887262,5
CHIR_IDreck4PQrMrU1HNgAH-268484-CACigna Standard ,887262,5
CHIR_IDrechaSNIScHw2dU0W-316791-CACigna National ,887262,5
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,887262,5
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,887262,5
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,887262,5
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,887262,5
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,887262,5
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,887262,5
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,887262,5
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,887262,5
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,887262,5
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,563495,5
CHIR_IDrecu6kCoiBjWI3ilg-199851-COCigna Rx Essent,563495,5
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,563495,5
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,563495,5
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,563495,5
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,563495,5
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,563495,5
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,563495,5
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,563495,5
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,563495,5
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,563495,5
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,563495,5
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,563495,5
