Document Title,Payer,Market Segment,Number of Approved CGMs,UUID_dupe,Cross-Payer Grouping A,Cross-Payer Grouping B,New Market Segment(s),Plan Tier Number
Cigna National 3-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Ten or More,CHIR_IDrecx3sTGQuwDRV5AK-268520-CACigna National ,"Cigna, Small & Large Group, 10+ CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna National Preferred 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecz9PX0eb2hqzpIV-316786-CACigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna National Preferred 4-Tier Prescription Drug List (DMHC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecFVf6CGLVgwPnNp-316787-CACigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna National Preferred 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna National Preferred 4-Tier Specialty Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecjT083Nk14tOagv-316788-CACigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna National Preferred 4-Tier Specialty Prescription Drug List (DMHC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecwKFCq7JLOuT0Bi-316789-CACigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna National Preferred 4-Tier Specialty Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna National Preferred 5-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrechaSNIScHw2dU0W-316791-CACigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna National Preferred 5-Tier Prescription Drug List (DMHC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecusdGJp8vXTL9qw-316792-CACigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna National Preferred 5-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna National Preferred 5-Tier Specialty Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecZp60qazvEOCOIe-316793-CACigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna National Preferred 5-Tier Specialty Prescription Drug List (DMHC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDreca9XzQkdTf86EUo-316794-CACigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna National Preferred 5-Tier Specialty Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna National Preferred 6-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecCKd9ou6oLEKtG8-316796-CACigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","6-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",6-Tier Plan
Cigna National Preferred 6-Tier Prescription Drug List (DMHC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrec2wHHlTA6YHpzo6-316797-CACigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","6-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",6-Tier Plan
Cigna National Preferred 6-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","6-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",6-Tier Plan
Cigna National Preferred Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Cigna Performance 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrec5boxnyE0YH8kjB-268497-CACigna Performan,"Cigna, Small & Large Group, 8-9 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Performance 3-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,"Cigna, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Performance 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecsyKu9FxwVFcOyd-268498-CACigna Performan,"Cigna, Small & Large Group, 8-9 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Performance Four Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Plus 4-Tier Prescription Drug List (FL Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecd4qtuaL8eFOiQO-315721-FLCigna Plus 4-Ti,"Cigna, Small & Large Group, 4-5 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Plus 4-Tier Prescription Drug List (IL Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrec1IHz2OOJpSBvYd-315723-ILCigna Plus 4-Ti,"Cigna, Small & Large Group, 4-5 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Plus 4-Tier Prescription Drug List (MS Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecO8bdAH1bLHKmce-315727-MSCigna Plus 4-Ti,"Cigna, Small & Large Group, 4-5 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Plus 4-Tier Prescription Drug List (NC Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDreciy9B9sDXpr2Dqs-315728-NCCigna Plus 4-Ti,"Cigna, Small & Large Group, 4-5 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Plus 4-Tier Prescription Drug List (TN Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecIwMlQXmgXLizkc-315730-TNCigna Plus 4-Ti,"Cigna, Small & Large Group, 4-5 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Plus 4-Tier Prescription Drug List (TX Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecprZRTEFB3PlkdA-315731-TXCigna Plus 4-Ti,"Cigna, Small & Large Group, 4-5 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Plus 5-Tier Prescription Drug List (GA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecHyYRqsK42c4Ufu-290261-GACigna Plus 5-Ti,"Cigna, Small & Large Group, 4-5 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna Plus 5-Tier Prescription Drug List (MS Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrec6K8dDay3YQXC4r-290262-MSCigna Plus 5-Ti,"Cigna, Small & Large Group, 4-5 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna Plus 5-Tier Prescription Drug List (TX Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrec897RxDNvGubkQq-315719-TXCigna Plus 5-Ti,"Cigna, Small & Large Group, 4-5 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna Premiere 4-Tier Prescription Drug List (AZ Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrec7AIzuLz4CznuBE-315720-AZCigna Premiere ,"Cigna, Small & Large Group, 4-5 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Premiere 4-Tier Prescription Drug List (IN Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecsjld1rrbq7890t-315724-INCigna Premiere ,"Cigna, Small & Large Group, 4-5 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Premiere 5-Tier Prescription Drug List (IN Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecubku9V573IgvWv-315717-INCigna Premiere ,"Cigna, Small & Large Group, 4-5 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna Rx Essential 5-Tier Prescription Drug List (CO Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecu6kCoiBjWI3ilg-199851-COCigna Rx Essent,"Cigna, Small & Large Group, 4-5 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna Rx Plus 5-Tier Prescription Drug List (FL Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecSGoB9fMDWK7rxb-199852-FLCigna Rx Plus 5,"Cigna, Small & Large Group, 4-5 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna Rx Plus 5-Tier Prescription Drug List (IL Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrectUEMNRDRT1oaFG-199853-ILCigna Rx Plus 5,"Cigna, Small & Large Group, 4-5 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna Rx Plus 5-Tier Prescription Drug List (NC Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecl7DpdEpmQtYnyD-199855-NCCigna Rx Plus 5,"Cigna, Small & Large Group, 4-5 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna Rx Plus 5-Tier Prescription Drug List (TN Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecFuxI7QC0T0swLz-199856-TNCigna Rx Plus 5,"Cigna, Small & Large Group, 4-5 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna Rx Premiere 5-Tier Prescription Drug List (AZ Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrec1TkkGpQ2uF6bDK-199850-AZCigna Rx Premie,"Cigna, Small & Large Group, 4-5 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna Rx Premiere 5-Tier Prescription Drug List (VA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecXN4ilDVIJsIlsy-199858-VACigna Rx Premie,"Cigna, Small & Large Group, 4-5 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Cigna Specialty Legacy (Standard) 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecRiX2gUWorPfloW-268509-CACigna Specialty,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Specialty Legacy (Standard) 4-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecBE4b7RoZccHPkC-268510-CACigna Specialty,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Specialty Legacy (Standard) 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Specialty Standard 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrec2htHm6fFJXcnVe-268485-CACigna Specialty,"Cigna, Small & Large Group, 8-9 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Specialty Standard 4-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDreczN89f6WNs77hqx-268486-CACigna Specialty,"Cigna, Small & Large Group, 8-9 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Specialty Standard 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Specialty Value 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecsPx1FO1IQwUgn1-268495-CACigna Specialty,"Cigna, Small & Large Group, 8-9 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Specialty Value 4-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecnYvV4HVyFnTJWs-268496-CACigna Specialty,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Specialty Value 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Standard 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecmnXCnXMOZRdmLV-268481-CACigna Standard ,"Cigna, Small & Large Group, 8-9 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Standard 3-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecynhegPVjTmxsw5-268482-CACigna Standard ,"Cigna, Small & Large Group, 8-9 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Standard 3-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,"Cigna, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Standard 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecLamNQ2VlIRIz2r-268483-CACigna Standard ,"Cigna, Small & Large Group, 8-9 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Standard 4-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDreck4PQrMrU1HNgAH-268484-CACigna Standard ,"Cigna, Small & Large Group, 8-9 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Standard 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Total Savings 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrec71qAIVXcOAfMpZ-268517-CACigna Total Sav,"Cigna, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Total Savings 3-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,"Cigna, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Value 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecsV0fdNb8FvaEPw-268491-CACigna Value 3-T,"Cigna, Small & Large Group, 8-9 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Value 3-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecsVOQur4ZI5L2A9-268492-CACigna Value 3-T,"Cigna, Small & Large Group, 8-9 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Value 3-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,"Cigna, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Cigna Value 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecOujHsueib5cDzA-268493-CACigna Value 4-T,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Value 4-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecIfPO3U7ZvTTZCs-268494-CACigna Value 4-T,"Cigna, Small & Large Group, 8-9 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Cigna Value 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,"Cigna, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Diabetic Supply Preventive Medication List (Health Plan),Cigna,All Segments,Six - Seven,CHIR_IDrecosNKYgvw2d5kPT-290285-AKDiabetic Supply,"Cigna, All Segments, 6-7 CGMs Covered","Non-Tiered Plan, All Segments",All Segments,Non-Tiered Plan
Legacy (Standard) and Legacy (Performance) Preventive Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Legacy (Standard) and Legacy (Performance) Preventive Generics Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Legacy Diabetic Supply Preventive Medication List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Formulary (AZ Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrec8XHi8XHpAmgl09-301799-AZOscar and Cigna,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Formulary (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecYMNmvk80tSBU2X-301803-CAOscar and Cigna,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Formulary (CT Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecavtiNO8tA0sADe-301806-CTOscar and Cigna,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Formulary (GA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecXKPcpVxGYyghZt-301923-GAOscar and Cigna,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Formulary (KS Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecxQnO4owR1lVQM4-301931-KSOscar and Cigna,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Formulary (MO Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecx8Okyot4wI4XYs-301935-MOOscar and Cigna,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Formulary (PA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecqcwFXQ0JRL9UiJ-309486-PAOscar and Cigna,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Formulary (TN Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecV9Iw8f0i9iPXB0-302189-TNOscar and Cigna,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Standard and Performance Preventive Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Standard and Performance Preventive Generics Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Standard Plan Generics and Preferred Brands Drug List for the National Preferred Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Two - Three,CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,"Cigna, Small & Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Standard Plus Plan Generics and Preferred Brands Drug List for the National Preferred Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,"Cigna, Small & Large Group, 4-5 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Standard Plus Preventive Drug List (Health Plan),Cigna,Unclear,,,"Cigna, Unclear, nan CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
