Document Title,Payer,Market Segment,Number of Approved CGMs,UUID_dupe,Cross-Payer Grouping A,Cross-Payer Grouping B,New Market Segment(s),Plan Tier Number
City of Cincinnati Essential Drug List (Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec0jINF9aiAcX46p-340116-OHCity of Cincinn,"Anthem, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Essential Direct 3-Tier Drug List (CT),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecQxH5IHd63TcT4N-373006-CTEssential Direc,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Essential Direct 3-Tier Drug List (NY),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec8la25KOQ5lDgF7-372908-NYEssential Direc,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Essential Direct 4-Tier Drug List (CT),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec1vJN8pxzmmA8aZ-373007-CTEssential Direc,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Essential Direct 4-Tier Drug List (NY),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecLh45Ho7lm5y7IL-372915-NYEssential Direc,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Essential Direct 5-Tier Drug List (CT),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecEnlh3mlW0wNZn4-373009-CTEssential Direc,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Essential Direct 5-Tier Drug List (NY),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec0JeBrUq1on9hJv-372916-NYEssential Direc,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Essential Drug List 3-Tier (CDI) (CA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec22ZNnIXTbRgQlK-233733-AKEssential Drug ,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Essential Drug List 3-Tier (Commercial),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec2eXFqJZlRhut2n-138035-AKEssential Drug ,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Essential Drug List 3-Tier (Commercial) (VA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreceY8VSQr7hfW3r1-190510-COEssential Drug ,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Essential Drug List 3-Tier (DMHC) (CA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecQakElf8adKXkOj-233738-CAEssential Drug ,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Essential Drug List 4-Tier (CDI) (CA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrectSiDHr6onNnKGX-233748-AKEssential Drug ,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Essential Drug List 4-Tier (Commercial),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecJwQzHVpasI2kwC-137924-AKEssential Drug ,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
