Line of Business,New Market Segment(s),Payer,Payer (Detailed),States,Covered Lives
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,WV,"68,549"
Commercial,Large Group,Cigna,Cigna,WY,102
Commercial,Self Funded/Employer Sponsored,Cigna,Cigna,WY,"91,576"
Commercial,Individual,Florida Blue,Capital Health Plan,FL,"8,944"
Commercial,Individual,Florida Blue,Florida Blue,FL,"1,422,123"
Commercial,Individual,Florida Blue,Florida Healthcare Plan,FL,"53,412"
Commercial,Large Group,Florida Blue,Capital Health Plan,FL,"86,675"
Commercial,Large Group,Florida Blue,Florida Blue,FL,"548,536"
Commercial,Large Group,Florida Blue,Florida Healthcare Plan,FL,"29,608"
Commercial,Self Funded/Employer Sponsored,Florida Blue,Florida Blue,FL,"959,979"
Commercial,Small Group,Florida Blue,Capital Health Plan,FL,"12,119"
Commercial,Small Group,Florida Blue,Florida Blue,FL,"129,023"
Commercial,Small Group,Florida Blue,Florida Healthcare Plan,FL,"3,840"
Commercial,Individual,Kaiser Permanente,Kaiser Permanente,CA,"811,033"
Commercial,Large Group,Kaiser Permanente,Kaiser Permanente,CA,"5,172,259"
Commercial,Self Funded/Employer Sponsored,Kaiser Permanente,Kaiser Permanente,CA,"110,932"
Commercial,Small Group,Kaiser Permanente,Kaiser Permanente,CA,"749,309"
Commercial,Individual,Kaiser Permanente,Kaiser Permanente,CO,"76,683"
Commercial,Large Group,Kaiser Permanente,Kaiser Permanente,CO,"233,181"
Commercial,Self Funded/Employer Sponsored,Kaiser Permanente,Kaiser Permanente,CO,"20,776"
Commercial,Small Group,Kaiser Permanente,Kaiser Permanente,CO,"44,063"
Commercial,Individual,Kaiser Permanente,Kaiser Permanente,DC,"2,452"
Commercial,Large Group,Kaiser Permanente,Kaiser Permanente,DC,"47,915"
Commercial,Small Group,Kaiser Permanente,Kaiser Permanente,DC,"20,012"
Commercial,Individual,Kaiser Permanente,Kaiser Permanente,GA,"71,167"
Commercial,Large Group,Kaiser Permanente,Kaiser Permanente,GA,"155,548"
