Document Title,Payer,Market Segment,Number of Approved CGMs,UUID_dupe,Cross-Payer Grouping A,Cross-Payer Grouping B
Louisiana Advantage 3-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrecgukDkKdbyVLLB7-229134-LALouisiana Advan,,
Louisiana Essential 4-Tier Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrecykgzra7JE2sL7o-267554-LALouisiana Essen,,
Louisiana Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrec8XSHiCRQthI5a8-312709-LALouisiana Indiv,,
Maryland Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecio5DHHGeq7gKbv-312711-MDMaryland Indivi,,
Michigan Individual & Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecNd9sXw85fybCRL-312713-MIMichigan Indivi,,
Mississippi Individual & Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrechPabcCneSitZdv-312715-MSMississippi Ind,,
Missouri Individual & Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrec4EwSge9ROzuhSB-312717-MOMissouri Indivi,,
Nebraska Prescription Drug List (Health Plan),United Healthcare,Unclear,Four - Five,CHIR_IDrecHNVomQT8wkozJk-359382-NENebraska Prescr,,
New Jersey Essential Plus Prescription Drug List (Health Plan),United Healthcare,Unclear,Four - Five,CHIR_IDrecUSRkewczmWLSy1-336230-NJNew Jersey Esse,,
New Mexico Access Large Group 3-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrec5VTv2yXWbVosEN-287365-NMNew Mexico Acce,,
New Mexico Access Large Group 4-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrechWhLNq0KcHdVDT-287366-NMNew Mexico Acce,,
New Mexico Advantage Large Group 3-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrecPdRw84rrnkmbty-287363-NMNew Mexico Adva,,
New Mexico Advantage Large Group 4-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrecLD7amneYLQvyjB-287364-NMNew Mexico Adva,,
New Mexico Essential Large Group 4-Tier Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrecQzzcRla6TEH3VF-287367-NMNew Mexico Esse,,
New Mexico Essential Plus Prescription Drug List (Health Plan),United Healthcare,Unclear,Two - Three,CHIR_IDrec8yFb6FSYOt8MA1-336229-NMNew Mexico Esse,,
New Mexico Essential Small Group 4-Tier Prescription Drug List (Health Plan),United Healthcare,Small Group,Eight - Nine,CHIR_IDrecx8OQSr9C6Auoo7-289024-NMNew Mexico Esse,,
North Carolina Individual & Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecwvP1HxE3IDl5zJ-312719-NCNorth Carolina ,,
Ohio Individual & Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecwrLsCSCnl03lHI-312722-OHOhio Individual,,
Oklahoma Individual & Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrec7BaReQnQk3qxSS-312724-OKOklahoma Indivi,,
Pharmacy Benefit Supply Limits per Copay (Health Plan),United Healthcare,Unclear,None,CHIR_IDrecYelvQBaArOJZOo-289023-AKPharmacy Benefi,,
Pharmacy Benefit Supply Limits Per Duration (Health Plan),United Healthcare,Unclear,Eight - Nine,CHIR_IDrecKF3V8AZuQdoIPP-154928-AKPharmacy Benefi,,
South Carolina Individual & Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecKpxmFrfHCNWe4Y-336232-SCSouth Carolina ,,
Tennessee Individual & Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecL5UtIq1nsV1wDE-312725-TNTennessee Indiv,,
Texas Advantage 3-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDreceUVElnf7Nsi91T-151347-TXTexas Advantage,,
Texas Essential 4-Tier Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDreccczwXcarnX9z3T-267555-TXTexas Essential,,
Texas Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecMliLIMYl7CeMVO-312728-TXTexas Individua,,
United Healthcare Advantage 3-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrecOfsIoR4PwWMAQ8-137632-AKUnited Healthca,,
United Healthcare Advantage 4-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrecIS7whWQ8iq2JH0-137652-AKUnited Healthca,,
United Healthcare Pharmacy Benefit Programs Drug List (Health Plan),United Healthcare,Unclear,None,,,
United Healthcare Prescription Drug List (Health Plan),United Healthcare,"Individual,Small Group,Large Group",Eight - Nine,CHIR_IDreca2lnlupkzA6Xmz-137631-AKUnited Healthca,,
UnitedHealthcare Traditional 3-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrecdFcsBCD8yKC1Px-137654-AKUnitedHealthcar,,
UnitedHealthcare Traditional 4-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrecwwOdnkygdVvZN4-137653-AKUnitedHealthcar,,
Virginia Individual & Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecgY4zH9vr4lGhNR-312730-VAVirginia Indivi,,
Washington Individual & Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrec83ZezUgTosc1SG-312731-WAWashington Indi,,
Wisconsin Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecAO4neLd050qPF5-339769-WIWisconsin Indiv,,
Wyoming Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecpOz7E965U0Xae1-359385-WYWyoming Prescri,,
