Document Title,Payer,Market Segment,Number of Approved CGMs,UUID_dupe,Cross-Payer Grouping A,Cross-Payer Grouping B
National Drug List 3-Tier (DMHC),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecjXZ2HD9Z1BOEHw-233788-CANational Drug L,,
National Drug List 3-Tier (VA),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecnYV9YIEzD1fdio-229242-VANational Drug L,,
National Drug List 4-Tier (CDI),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecWT3botEub4kQTB-233794-AKNational Drug L,,
National Drug List 4-Tier (Commercial),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrec3QGUETY6TDgpEX-137264-AKNational Drug L,,
National Drug List 4-Tier (DMHC),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrec19Bct3rrGmwmgs-233799-CANational Drug L,,
National Drug List 4-Tier (VA),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecsoqO4qjyoFbVfG-229244-VANational Drug L,,
National Drug List 5-Tier (CDI),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecRTYlxFbF7wo0bI-233800-AKNational Drug L,,
National Drug List 5-Tier (Health Plan),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecBtgGItkV6oL6PO-199824-AKNational Drug L,,
National Drug List Closed Formulary (CDI) (CA),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecS8WQXQUYcGxloO-233819-CANational Drug L,,
National Drug List Closed Formulary (DMHC) (CA),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecpT7BulJdhKX6Zi-233834-CANational Drug L,,
National Drug List Closed Formulary (Health Plan),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecL3pO8evIQahsSV-138034-AKNational Drug L,,
National Drug List Closed Formulary (NY),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecomfOyXb7Fgp2Za-150284-NYNational Drug L,,
