Document Title,uuid_formula,UUID_dupe,airtable_record_id,New State Grouping
Cigna Legacy (Performance) 3-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecLf3fWd431A9nHM-268514-CACigna Legacy (P,CHIR_IDrecLf3fWd431A9nHM-268514-CACigna Legacy (P,recLf3fWd431A9nHM,Only 1 State(s): CA
Cigna Legacy (Performance) 4-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecYVBm9MdEPWXQeU-268515-CACigna Legacy (P,CHIR_IDrecYVBm9MdEPWXQeU-268515-CACigna Legacy (P,recYVBm9MdEPWXQeU,Only 1 State(s): CA
Cigna Specialty Value 4-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDrecnYvV4HVyFnTJWs-268496-CACigna Specialty,CHIR_IDrecnYvV4HVyFnTJWs-268496-CACigna Specialty,recnYvV4HVyFnTJWs,Only 1 State(s): CA
Cigna Value 3-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecsV0fdNb8FvaEPw-268491-CACigna Value 3-T,CHIR_IDrecsV0fdNb8FvaEPw-268491-CACigna Value 3-T,recsV0fdNb8FvaEPw,Only 1 State(s): CA
Cigna Value 4-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecOujHsueib5cDzA-268493-CACigna Value 4-T,CHIR_IDrecOujHsueib5cDzA-268493-CACigna Value 4-T,recOujHsueib5cDzA,Only 1 State(s): CA
Cigna Standard 3-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecmnXCnXMOZRdmLV-268481-CACigna Standard ,CHIR_IDrecmnXCnXMOZRdmLV-268481-CACigna Standard ,recmnXCnXMOZRdmLV,Only 1 State(s): CA
Cigna Specialty Standard 4-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDreczN89f6WNs77hqx-268486-CACigna Specialty,CHIR_IDreczN89f6WNs77hqx-268486-CACigna Specialty,reczN89f6WNs77hqx,Only 1 State(s): CA
Cigna Value 3-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDrecsVOQur4ZI5L2A9-268492-CACigna Value 3-T,CHIR_IDrecsVOQur4ZI5L2A9-268492-CACigna Value 3-T,recsVOQur4ZI5L2A9,Only 1 State(s): CA
Cigna Value 4-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDrecIfPO3U7ZvTTZCs-268494-CACigna Value 4-T,CHIR_IDrecIfPO3U7ZvTTZCs-268494-CACigna Value 4-T,recIfPO3U7ZvTTZCs,Only 1 State(s): CA
Cigna Specialty Value 4-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecsPx1FO1IQwUgn1-268495-CACigna Specialty,CHIR_IDrecsPx1FO1IQwUgn1-268495-CACigna Specialty,recsPx1FO1IQwUgn1,Only 1 State(s): CA
Cigna Standard 4-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecLamNQ2VlIRIz2r-268483-CACigna Standard ,CHIR_IDrecLamNQ2VlIRIz2r-268483-CACigna Standard ,recLamNQ2VlIRIz2r,Only 1 State(s): CA
Cigna Standard 3-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDrecynhegPVjTmxsw5-268482-CACigna Standard ,CHIR_IDrecynhegPVjTmxsw5-268482-CACigna Standard ,recynhegPVjTmxsw5,Only 1 State(s): CA
Cigna Legacy (Standard) 3-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrec4Qr94xDlYrbRga-268504-CACigna Legacy (S,CHIR_IDrec4Qr94xDlYrbRga-268504-CACigna Legacy (S,rec4Qr94xDlYrbRga,Only 1 State(s): CA
Cigna Legacy (Standard) 3-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDrecF2s1rGKZjNLRgl-268505-CACigna Legacy (S,CHIR_IDrecF2s1rGKZjNLRgl-268505-CACigna Legacy (S,recF2s1rGKZjNLRgl,Only 1 State(s): CA
Cigna Specialty Legacy (Standard) 4-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDrecBE4b7RoZccHPkC-268510-CACigna Specialty,CHIR_IDrecBE4b7RoZccHPkC-268510-CACigna Specialty,recBE4b7RoZccHPkC,Only 1 State(s): CA
Cigna Specialty Legacy (Standard) 4-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecRiX2gUWorPfloW-268509-CACigna Specialty,CHIR_IDrecRiX2gUWorPfloW-268509-CACigna Specialty,recRiX2gUWorPfloW,Only 1 State(s): CA
Cigna Legacy (Standard) 4-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDrecdXPtGEJHO8qAel-268507-CACigna Legacy (S,CHIR_IDrecdXPtGEJHO8qAel-268507-CACigna Legacy (S,recdXPtGEJHO8qAel,Only 1 State(s): CA
Cigna Legacy (Standard) 4-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecIVRi7gup9Oe04p-268506-CACigna Legacy (S,CHIR_IDrecIVRi7gup9Oe04p-268506-CACigna Legacy (S,recIVRi7gup9Oe04p,Only 1 State(s): CA
Cigna Advantage Four Tier Prescription Drug List (Health Plan),CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,rec19rlq1vtNSOYbr,All States
Cigna Total Savings 3-Tier Prescription Drug List (Health Plan),CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,recSc9PHbFNuB92wa,All States
Cigna Performance Four Tier Prescription Drug List (Health Plan),CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,recopGdpAEow8JYII,All States
Cigna Specialty Standard 4-Tier Prescription Drug List (Health Plan),CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,recFKQWY0a58xrntl,All States
Cigna Specialty Standard 4-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrec2htHm6fFJXcnVe-268485-CACigna Specialty,CHIR_IDrec2htHm6fFJXcnVe-268485-CACigna Specialty,rec2htHm6fFJXcnVe,Only 1 State(s): CA
Cigna Value 4-Tier Prescription Drug List (Health Plan),CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,recalp2Vf0dSYE8zP,All States
